id,polarity_name,polarity_overview,polarity_rules,review_polarity
2818,0.04603174603174603,0.18514285714285714,0.18333333333333335,0.34011818427509416
3209,0.2481395348837209,0.2039186507936508,0.3178409090909091,0.33188730717034287
20168,0.14758064516129032,0.0891304347826087,0.16041666666666665,0.2956386291236151
25428,0.2906837859110586,0.0,0.14494949494949497,0.506875
27886,0.3165732959850606,0.2435897435897436,0.18412698412698414,0.40273503575233244
28658,0.09260055096418736,0.013232600732600745,0.26863075196408526,0.34668140963897576
28871,0.1620907738095238,0.0,0.0,0.3629789210501593
29051,0.14902116402116405,0.35,0.0,0.3925731322492356
31080,0.05599343185550082,0.39999999999999997,-0.025,0.38256145618353754
41125,0.20340909090909093,0.0,0.2511111111111111,0.4096120875886948
42970,0.17870129870129875,0.4442959001782531,0.5537878787878786,0.42279203757012124
43980,0.22657807308970102,0.16894267348812808,0.3484375,0.2957512862470299
44129,0.2558994708994709,0.2889953542392567,0.13173076923076926,0.42940958217665126
44391,0.14649859943977592,0.1285714285714286,0.5625,0.3922716411426089
45246,0.18789198606271776,0.0,0.07692307692307693,0.3737364831817629
46386,0.28405844155844157,0.13636363636363635,0.18698933782267116,0.13044444444444445
47061,0.20852130325814539,0.2861111111111111,0.16700216450216449,0.36981725912921304
48076,0.12263157894736842,0.2338888888888889,0.0,0.3935837002697258
49790,0.2457824143070045,0.0,0.6000000000000001,0.3853853025009724
50515,0.24862012987012988,0.3407886904761905,0.2986742424242424,0.12319570572174739
50518,0.34841954022988497,0.0,0.559375,0.38570567092855623
50523,0.19624480095068336,0.0,0.0,0.37357509992703886
50570,0.22533914728682175,-0.025,0.1599326599326599,0.3363572549852988
52490,0.37561011904761904,0.22733266733266733,0.34124999999999994,0.4120356781213884
53067,0.2366666666666667,0.14030612244897958,0.11641747141747141,0.3330108361892005
53671,0.1228200371057514,0.24722943722943724,0.31257575757575756,0.3290085284254459
53692,0.15206869633099138,0.034232954545454546,0.1662892662892663,0.3071486455957834
55256,0.06774962742175857,0.10966810966810968,0.0062500000000000056,0.38971788360097187
55703,0.12818181818181815,0.09141414141414143,0.29,0.25190972222222224
55709,0.3109585652442796,0.06435185185185185,0.29043109668109673,0.40580574241352774
55807,0.2766888396156689,0.0,0.5750000000000001,0.3492991186904214
55868,0.17381182647140092,0.14776388888888892,0.3544421487603306,0.4369511050562814
